Super_Word,Value
shop,set(['shop'])
load,set(['load'])
distracted,set(['distracted'])
dont,set(['dont'])
office,set(['office'])
show,set([u'show'])
color,set(['color'])
image,set(['image'])
wedding,set(['wedding'])
whichever,set(['whichever'])
trade,set(['trade'])
protest,set([u'protest'])
sleep,set(['sleep'])
costume,set([u'costume'])
seats,set(['seats'])
go,"set(['go', u'get'])"
lesson,set([u'lesson'])
uniform,set(['uniform'])
tablecloth,set(['tablecloth'])
carpet,set(['carpet'])
sweating,set(['sweating'])
video,set([u'video'])
colorspatterns,set(['colorspatterns'])
sheet,set([u'sheet'])
fabric,set(['fabric'])
working,set(['working'])
brighter,"set(['brighter', 'darker'])"
support,set(['support'])
people,set(['people'])
redecorate,set(['redecorate'])
embarassed,set(['embarassed'])
wall,set(['wall'])
much,set(['much'])
music,set(['music'])
helps,set(['helps'])
curtain,set([u'curtain'])
stain,set([u'stain'])
ex,set(['ex'])
presentation,set([u'presentation'])
start,set(['start'])
slideshows,set(['slideshows'])
direction,set([u'direction'])
blanket,set(['blanket'])
watch,set(['watch'])
back,set(['back'])
flag,set(['flag'])
construction,set(['construction'])
adult,set(['adult'])
child,set(['child'])
cape,set(['cape'])
promote,set(['promote'])
day,set(['day'])
like,set(['like'])
case,set(['case'])
school,"set(['school', 'college'])"
look,set(['look'])
sleeve,set(['sleeve'])
type,set(['type'])
runway,set(['runway'])
cry,set([u'cry'])
laying,set(['laying'])
bed,set(['bed'])
reflective,set(['reflective'])
car,set(['car'])
room,set(['room'])
design,set(['design'])
ie,set(['ie'])
display,set(['display'])
something,set(['something'])
square,set(['square'])
often,set(['often'])
give,"set(['make', 'keep', 'give'])"
student,set([u'student'])
frame,set(['frame'])
halloween,set(['halloween'])
play,set(['play'])
mural,set(['mural'])
need,set(['need'])
tshirt,set(['tshirt'])
childrens,set(['childrens'])
booth,set(['booth'])
want,set(['want'])
in,set(['in'])
billboard,set(['billboard'])
logo,set([u'logo'])
turn,set([u'turn'])
clothing,set(['clothing'])
campus,set(['campus'])
different,set(['different'])
superhero,set(['superhero'])
shirt,set(['shirt'])
night,set(['night'])
dancing,set(['dancing'])
movie,set(['movie'])
candidate,set(['candidate'])
message,set([u'message'])
trip,set(['trip'])
note,set([u'note'])
also,set(['also'])
various,"set(['certain', 'various'])"
take,set(['take'])
decorate,set(['decorate'])
buildings,set(['buildings'])
used,set(['used'])
interactive,set(['interactive'])
worker,set([u'worker'])
screen,set(['screen'])
time,set([u'time'])
hang,set(['hang'])
little,set(['little'])
collection,set(['collection'])
holidays,set(['holidays'])
reflect,set(['reflect'])
reason,set([u'reason'])
regular,set(['regular'])
shifting,set(['shifting'])
wear,set(['wear'])
advertisement,set([u'advertisement'])
put,set(['put'])
based,set(['based'])
teach,set(['teach'])
hand,set(['hand'])
data,set(['data'])
change,set([u'change'])
kid,"set(['girl', u'kid'])"
classroom,set([u'classroom'])
on,set(['on'])
theater,set([u'theater'])
hunting,set(['hunting'])
projector,set(['projector'])
older,set(['older'])
painting,set(['painting'])
later,set(['later'])
running,set(['running'])
anytime,set(['anytime'])
etc,set(['etc'])
sons,set(['sons'])
camo,set(['camo'])
sweat,set(['sweat'])
reception,set(['reception'])
pattern,set([u'pattern'])
clothes,set(['clothes'])
its,set(['its'])
pillow,set([u'pillow'])
road,set(['road'])
purpose,set([u'purpose'])
