Super_Word,Value
feed,set(['feed'])
adjustable,set(['adjustable'])
gold,set(['gold'])
show,set(['show'])
color,set([u'color'])
photo,set(['photo'])
image,set([u'image'])
artwork,set(['artwork'])
displayed,set(['displayed'])
replace,set(['replace'])
set,set(['set'])
eaisily,set(['eaisily'])
dish,set([u'dish'])
impossible,set(['impossible'])
cold,set(['cold'])
reality,set(['reality'])
redo,set(['redo'])
talking,set(['talking'])
web,set(['web'])
giant,set(['giant'])
management,set(['management'])
fabric,set(['fabric'])
filming,set(['filming'])
tv,set(['tv'])
unsual,set(['unsual'])
create,set(['create'])
there,set(['there'])
system,set(['system'])
actually,set(['actually'])
wall,set(['wall'])
school,set(['school'])
program,set(['program'])
invisibility,set(['invisibility'])
way,set(['way'])
meeting,set([u'meeting'])
build,set(['build'])
televisions,set(['televisions'])
colorchanging,set(['colorchanging'])
ceiling,set(['ceiling'])
emergency,set(['emergency'])
outside,set(['outside'])
food,set(['food'])
poster,set([u'poster'])
doorbell,set(['doorbell'])
watch,set(['watch'])
tent,set(['tent'])
draped,set(['draped'])
cloth,set(['cloth'])
finished,set(['finished'])
game,set(['game'])
know,set(['know'])
chat,set(['chat'])
desk,set(['desk'])
redesign,set(['redesign'])
decorating,set(['decorating'])
room,set(['room'])
easily,set(['easily'])
rush,set(['rush'])
smartphones,set(['smartphones'])
resource,set([u'resource'])
like,set(['like'])
player,set([u'player'])
customizable,set(['customizable'])
presentation,set([u'presentation'])
inside,set(['inside'])
covering,set(['covering'])
theyre,set(['theyre'])
project,set([u'project'])
collect,set(['collect'])
slide,set(['slide'])
warning,set([u'warning'])
diy,set(['diy'])
team,set(['team'])
video,set(['video'])
piece,set([u'piece'])
display,set(['display'])
ring,set([u'ring'])
clothes,set(['clothes'])
fashion,set(['fashion'])
art,set(['art'])
portable,set(['portable'])
map,set([u'map'])
frame,set(['frame'])
whie,set(['whie'])
side,set(['side'])
play,set(['play'])
mural,set(['mural'])
presenentations,set(['presenentations'])
claimed,set(['claimed'])
see,set(['see'])
computer,set(['computer'])
design,set(['design'])
onto,set(['onto'])
want,set(['want'])
table,set(['table'])
billboard,set([u'billboard'])
seem,set(['seem'])
sport,set([u'sport'])
clothing,set(['clothing'])
message,set([u'message'])
capture,set(['capture'])
appear,set(['appear'])
camping,set(['camping'])
space,set(['space'])
large,set(['large'])
make,set(['make'])
cloak,set(['cloak'])
virtual,set(['virtual'])
monitors,set(['monitors'])
note,set([u'note'])
maps,set(['maps'])
hot,set(['hot'])
projecting,set(['projecting'])
take,set(['take'])
interior,set(['interior'])
entire,set(['entire'])
correct,set(['correct'])
difficult,set(['difficult'])
picture,set(['picture'])
product,set(['product'])
ability,set([u'ability'])
park,set(['park'])
screen,set([u'screen'])
wallpaper,set(['wallpaper'])
hang,set(['hang'])
unusual,set(['unusual'])
scoreboard,set(['scoreboard'])
reflect,set(['reflect'])
caution,set(['caution'])
floor,set(['floor'])
put,set(['put'])
news,set(['news'])
tablecloth,set(['tablecloth'])
television,set(['television'])
change,set(['change'])
monitor,set(['monitor'])
theater,set(['theater'])
charts,set(['charts'])
youre,set(['youre'])
youtube,set(['youtube'])
flag,set(['flag'])
updatable,set(['updatable'])
person,set(['person'])
doorway,set(['doorway'])
everyone,set(['everyone'])
neighbor,set([u'neighbor'])
movie,set([u'movie'])
normally,set(['normally'])
powerpoint,set(['powerpoint'])
surface,set([u'surface'])
zoomable,set(['zoomable'])
