Super_Word,Value
,set([''])
origin,"set([u'origin', 'name', 'island', 'modern', 'flag', 'today'])"
liqour,set(['liqour'])
reseteraunts,set(['reseteraunts'])
afterwards,set(['afterwards'])
family,"set(['group', 'family'])"
people,"set([u'comment', 'concept', 'learning', u'deal', 'people', 'suggestions', 'it', 'satisfaction', 'books', 'something', 'questions', u'partner', 'really', u'thing', 'perhaps', u'question', 'content', 'book', 'statement', 'reminder', 'interests', 'them', 'someone', 'that', 'practice', 'problems', u'possibility', 'choice', 'appreciation', 'wrong', 'answers', 'quite', 'account', 'experience', 'person', 'complaint', 'suggestion', 'fact', 'view'])"
wall,"set(['right', u'wall', 'house', 'back', 'out', 'again', 'cut', 'from', 'top', 'tip', 'next', 'outside', 'before', 'across', 'head', 'around', 'upon', 'end', 'room', 'up', 'face', 'turn', 'carriage', u'place', 'passing', 'away', 'left'])"
youtube,set(['youtube'])
describe,"set(['incorporate', 'give', 'describe', 'replace', 'advertise', 'create', 'calculate', 'fix', 'utilize', 'attach', 'encourage', 'eliminate', 'solve', 'include', 'inevitably', 'offer', 'customize', 'communicate', 'explore', 'add', 'enhance', u'affect', 'estimate', 'realize', 'raise', 'remain', 'ensure', 'allow', 'contain', 'become', 'interact'])"
waiterwaitress,set(['waiterwaitress'])
poetic,"set(['poetic', 'blur', 'pens', 'pen', 'beautifully'])"
doesnt,set(['doesnt'])
itsel,set(['itsel'])
placemats,set(['placemats'])
want,"set(['enjoy', 'seeing', 'too', 'everyone', u'help', 'look', 'feel', 'visit', 'fit', 'choose', 'whatever', 'bring', 'want', 'go', 'take', 'keep', 'find', 'forget', 'sell', 'leave', 'wear', 'appear', 'prepare', 'pay', 'make', 'remember', 'able', 'waiting', 'send', 'check', 'write', 'live', 'going', 'call', 'calm', 'pretty', 'juggle', 'announce', 'you', 'save', 'store', 'happy', 'draw', 'repeat', 'touch', 'get', 'read', 'hang', 'pick', 'stop', 'loyalty', 'prepared', 'break', 'hear', 'know', 'ask', 'believe', 'come', 'eat', 'wait', 'throw', 'like', 'heard', 'receive', 'maybe', 'pretend', 'put', 'asked', 'try', 'ready', 'stand', 'wish', 'think', 'lay'])"
researpapers,set(['researpapers'])
table,"set(['set', 'projection', 'color', u'image', 'approximate', 'functional', 'surface', 'sign', 'product', 'interface', u'tag', 'file', u'table', 'message', 'drawing', 'option', 'tables', 'log', 'platform', 'ordering', 'menu', 'touchscreen', u'format', 'ideal', 'menus', u'window', 'version', 'way', u'print', 'type', 'email', 'empty', 'function', 'core', 'direction', u'medium', 'description', 'flip', 'idea', 'step', 'mime', 'key', u'desk', 'device', 'using', 'copy', 'spin', u'model', 'sp', 'bar', 'target', 'characteristic', 'button', 'clock', 'visual', 'server', u'item', 'depth', 'login', 'stationary', 'example'])"
aged,"set(['love', u'teacher', u'adult', u'student', u'child', 'lesson', 'aged', 'children', u'friend', 'man'])"
appetizersetc,set(['appetizersetc'])
elderflower,set(['elderflower'])
special,"set(['new', 'local', u'special'])"
