Super_Word,Value
,set([''])
incorporate,set(['incorporate'])
selected,set(['selected'])
shot,set(['shot'])
forget,set(['forget'])
show,set(['show'])
dance,set(['dance'])
stand,set(['stand'])
child,set([u'child'])
recipe,set([u'recipe'])
desserts,set(['desserts'])
concept,set(['concept'])
draftsman,set(['draftsman'])
dish,set(['dish'])
saved,set(['saved'])
find,set(['find'])
cartoon,set([u'cartoon'])
recharge,set(['recharge'])
whose,set(['whose'])
busy,set(['busy'])
based,set(['based'])
calculate,set(['calculate'])
tv,set(['tv'])
menu,set(['menu'])
description,set(['description'])
calorie,set([u'calorie'])
outing,set([u'outing'])
waiting,set(['waiting'])
send,set(['send'])
germain,set(['germain'])
going,set(['going'])
promoting,set(['promoting'])
pretty,set(['pretty'])
photo,set(['photo'])
announce,set(['announce'])
set,set(['set'])
include,set(['include'])
local,set(['local'])
resources,set(['resources'])
ingredient,set([u'ingredient'])
plate,set([u'plate'])
touchscreen,set(['touchscreen'])
get,set(['get'])
far,set(['far'])
dessert,set(['dessert'])
rock,set([u'rock'])
watch,set(['watch'])
prohibition,set(['prohibition'])
appetizer,set(['appetizer'])
menus,set(['menus'])
aware,set(['aware'])
preparing,set(['preparing'])
cook,set([u'cook'])
affect,set([u'affect'])
festuve,set(['festuve'])
cool,set(['cool'])
entire,set(['entire'])
school,set([u'school'])
increasing,set(['increasing'])
bar,set(['bar'])
prize,set([u'prize'])
activity,set([u'activity'])
bring,set(['bring'])
researpapers,set(['researpapers'])
button,set(['button'])
list,set(['list'])
applicable,set(['applicable'])
email,set(['email'])
try,set(['try'])
item,set([u'item'])
team,set(['team'])
quick,set(['quick'])
enhance,set(['enhance'])
grab,set(['grab'])
blur,set(['blur'])
clothes,set(['clothes'])
enjoy,set(['enjoy'])
bars,set(['bars'])
bill,set(['bill'])
art,set(['art'])
thwarting,set(['thwarting'])
tree,set([u'tree'])
liquor,set(['liquor'])
proprietor,set([u'proprietor'])
direct,set(['direct'])
arrives,set(['arrives'])
seat,set(['seat'])
chef,set(['chef'])
go,set(['go'])
see,set(['see'])
computer,set(['computer'])
video,set(['video'])
bed,set(['bed'])
neutral,set(['neutral'])
close,set(['close'])
news,set(['news'])
sport,set([u'sport'])
makers,set(['makers'])
best,set(['best'])
drinks,set(['drinks'])
even,set(['even'])
websitemenu,set(['websitemenu'])
clock,set(['clock'])
movie,set([u'movie'])
review,set([u'review'])
multimedia,set(['multimedia'])
recommendation,set([u'recommendation'])
idle,set([u'idle'])
children,set(['children'])
current,set(['current'])
outside,set(['outside'])
version,set(['version'])
flowing,set(['flowing'])
without,set(['without'])
new,set(['new'])
juggle,set(['juggle'])
reading,set(['reading'])
across,set(['across'])
3d,set(['3d'])
available,set(['available'])
program,set(['program'])
full,set(['full'])
invention,set(['invention'])
ability,set(['ability'])
youtube,set(['youtube'])
announcement,set([u'announcement'])
business,set(['business'])
screen,set([u'screen'])
never,set(['never'])
answers,set(['answers'])
drawing,set(['drawing'])
water,set(['water'])
seafood,set(['seafood'])
explore,set(['explore'])
coloring,set(['coloring'])
let,set(['let'])
wear,set(['wear'])
key,set(['key'])
making,set(['making'])
represented,set(['represented'])
pens,set(['pens'])
along,set(['along'])
quite,set(['quite'])
come,set(['come'])
teacher,set([u'teacher'])
change,set([u'change'])
kitchen,set(['kitchen'])
great,set(['great'])
animated,set(['animated'])
tablet,set([u'tablet'])
restaurant,set(['restaurant'])
receive,set(['receive'])
country,set([u'country'])
inspired,set(['inspired'])
larger,"set(['larger', 'smaller'])"
allows,set(['allows'])
step,set(['step'])
experience,set(['experience'])
called,set(['called'])
etc,set(['etc'])
tour,set(['tour'])
games,set(['games'])
advertising,set(['advertising'])
suggestion,set(['suggestion'])
pick,set(['pick'])
login,set(['login'])
whole,set(['whole'])
asked,set(['asked'])
add,set(['add'])
comment,set([u'comment'])
relevant,set(['relevant'])
love,set(['love'])
projection,set(['projection'])
family,set(['family'])
point,set([u'point'])
wall,set([u'wall'])
others,set(['others'])
sign,set(['sign'])
liqour,set(['liqour'])
private,set(['private'])
replace,set(['replace'])
satisfaction,set(['satisfaction'])
put,set(['put'])
simply,set(['simply'])
cold,set(['cold'])
learning,set(['learning'])
article,set([u'article'])
table,set([u'table'])
festivals,set(['festivals'])
total,set(['total'])
expensive,set(['expensive'])
bingo,set(['bingo'])
passive,set(['passive'])
bathroom,set(['bathroom'])
from,set(['from'])
raise,set(['raise'])
limitless,set(['limitless'])
addition,set(['addition'])
create,set(['create'])
locally,set(['locally'])
visit,set(['visit'])
due,set(['due'])
next,set(['next'])
vineyard,set(['vineyard'])
live,set(['live'])
options,set(['options'])
call,set(['call'])
calm,set(['calm'])
familiar,set(['familiar'])
toss,set(['toss'])
strike,set(['strike'])
curtain,set(['curtain'])
believe,set(['believe'])
wait,set(['wait'])
meeting,set([u'meeting'])
today,set(['today'])
choose,set(['choose'])
website,set(['website'])
monitor,set(['monitor'])
direction,set([u'direction'])
wish,set(['wish'])
corresponding,set(['corresponding'])
affixed,set(['affixed'])
it,set(['it'])
phone,set(['phone'])
flag,set([u'flag'])
cookware,set(['cookware'])
adult,set([u'adult'])
dresigns,set(['dresigns'])
interests,set(['interests'])
ins,set(['ins'])
spin,set(['spin'])
present,set(['present'])
customer,set([u'customer'])
account,set(['account'])
bartender,set(['bartender'])
room,set(['room'])
hour,set(['hour'])
ifwhen,set(['ifwhen'])
need,set(['need'])
past,set(['past'])
work,set(['work'])
animates,set(['animates'])
entertained,set(['entertained'])
air,set(['air'])
recommendations,set(['recommendations'])
essay,set([u'essay'])
remain,set(['remain'])
